title,address,latitude,longitude,retailer_type,,,
Antillana SuperFood Marketplace,3900 Broadway,40.837965,-73.941906,Grocery stores,,,
Jose Deli Grocery,1881 Amsterdam Ave.,40.830383,-73.943847,Grocery stores,,,
O & B Ranch Deli Grocery,559 W. 158th St.,40.83452,-73.944042,Grocery stores,,,
4 Brothers Food Market and Deli,1712 Amsterdam Ave.,40.824981,-73.947795,Grocery stores,,,
Paqueteria Tulcingo Diamante II,3480 Broadway,40.824665,-73.951613,Grocery stores,,,
Whole Foods Market,808 Columbus Ave.,40.795151,-73.965851,Grocery stores,,,
Key Food Supermarkets,755 Amsterdam Ave.,40.794578,-73.969986,Grocery stores,,,
CTown Supermarkets,3632 Broadway,40.829366,-73.948168,Grocery stores,,,
Kassim Food Market Deli & Grocery,1795 Amsterdam Ave.,40.82767,-73.945823,Grocery stores,,,
Food Universe Marketplace,538 W. 138th St.,40.821865,-73.953305,Grocery stores,,,
Foodtown of Morningside Heights,1316 Amsterdam Ave.,40.812259,-73.957088,Grocery stores,,,
Freshy's Deli & Grocery,941 Columbus Ave.,40.799394,-73.962754,Grocery stores,,,
Riverside Gourmet Market,3779 Broadway,40.833719,-73.945268,Grocery stores,,,
Santiago Deli Grocery,3680 Broadway,40.830895,-73.947057,Grocery stores,,,
3484 Broadway Mini Market,3484 Broadway,40.824674,-73.951606,Grocery stores,,,
Dylan's Delicious Deli Grocery,900 Riverside Drive,40.838297,-73.946282,Grocery stores,,,
New Stop Shop Deli & Grocery,1734 Amsterdam Ave.,40.825801,-73.947189,Grocery stores,,,
C-Town Fresh Market,560 W. 125th St.,40.814783,-73.957547,Grocery stores,,,
Westside Market NYC,2840 Broadway,40.804389,-73.966423,Grocery stores,,,
Associated Supermarket of Manhattan Valley,13-15 W. 100th St.,40.794467,-73.963507,Grocery stores,,,
Broadway Wholesome Food & Beer Garden,3578 Broadway,40.827497,-73.949548,Grocery stores,,,
MH Deli Grocery,3875 Broadway,40.837109,-73.942791,Grocery stores,,,
Host Deli & Grocery,880 Amsterdam Ave.,40.79861,-73.967056,Grocery stores,,,
Key Food Supermarkets,421 W. 125th St.,40.811994,-73.955066,Grocery stores,,,
Nuez Deli Grocery,1484 Amsterdam Ave.,40.817824,-73.953027,Grocery stores,,,
Dylan's Delicious Deli Grocery,900 Riverside Drive,40.838297,-73.946282,Grocery stores,,,
Milano Market Westside,2892 Broadway,40.805828,-73.965361,Grocery stores,,,
Estrella Grocery Deli,91 Hamilton Pl.,40.823238,-73.950316,Grocery stores,,,
CTown Supermarkets,3320 Broadway,40.8197,-73.95524,Grocery stores,,,
Shop Fair Supermarket of Broadway,3871 Broadway,40.836855,-73.942971,Grocery stores,,,
Domino's Pizza,409 W. 125th St.,40.81158786,-73.95451103,Top 50 American fast-food chains,,,
McDonald's,3549 Broadway,40.82669866,-73.95025859,Top 50 American fast-food chains,,,
Starbucks,2929 Broadway,40.80695556,-73.96467193,Top 50 American fast-food chains,,,
"Taco Bell, KFC",3645 Broadway,40.8296922,-73.948081,Top 50 American fast-food chains,,,
Chipotle Mexican Grill,3781 Broadway,40.83415089,-73.94482151,Top 50 American fast-food chains,,,
Subway,3559 Broadway,40.82691268,-73.95010305,Top 50 American fast-food chains,,,
Chipotle Mexican Grill,805 Columbus Ave.,40.79498061,-73.96595683,Top 50 American fast-food chains,,,
Subway,3419 Broadway,40.82254714,-73.95329312,Top 50 American fast-food chains,,,
Wendy's,3939 Broadway,40.83887561,-73.94136619,Top 50 American fast-food chains,,,
"Dunkin', Baskin-Robbins",900 St. Nicholas Ave.,40.83099819,-73.94131896,Top 50 American fast-food chains,,,
Subway,3795 Broadway,40.83449111,-73.94457188,Top 50 American fast-food chains,,,
Subway,971 Amsterdam Ave.,40.80143871,-73.96496022,Top 50 American fast-food chains,,,
Dunkin',3369 Broadway,40.82108187,-73.95436,Top 50 American fast-food chains,,,
Domino's Pizza,3624 Broadway,40.8291544,-73.94844277,Top 50 American fast-food chains,,,
Chipotle Mexican Grill,2843 Broadway,40.80429374,-73.96661668,Top 50 American fast-food chains,,,
Dunkin',3833 Broadway,40.83569288,-73.94369632,Top 50 American fast-food chains,,,
Domino's Pizza,965 Amsterdam Ave.,40.80129327,-73.96506504,Top 50 American fast-food chains,,,
Subway,3920 Broadway,40.83852989,-73.94159418,Top 50 American fast-food chains,,,
Dunkin',1235 Amsterdam Ave.,40.80979444,-73.95886163,Top 50 American fast-food chains,,,
Dunkin',1995 Amsterdam Ave.,40.83391307,-73.94124772,Top 50 American fast-food chains,,,
Domino's Pizza,1988 Amsterdam Ave.,40.83377589,-73.94137432,Top 50 American fast-food chains,,,
Dunkin',1342 Amsterdam Ave.,40.81364429,-73.95607751,Top 50 American fast-food chains,,,
McDonald's,3809 Broadway,40.83496853,-73.94422094,Top 50 American fast-food chains,,,
Subway,578 W. 125th St.,40.81529459,-73.95796949,Top 50 American fast-food chains,,,
Dunkin',3600 Broadway,40.82843277,-73.9489709,Top 50 American fast-food chains,,,
McDonald's,2726 Broadway,40.80008646,-73.96808884,Top 50 American fast-food chains,,,
