,County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,Address.Line.2,Address.Line.3,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery
114,New York,721123,Store,JAC,PELAEZ PRODUCE CORP,PELAEZ PRODUCE 1/17/201,3557,BROADWAY,,,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,True
115,New York,735609,Store,A,BEST VALUE 99C CORP,BEST VALUE,1802,AMSTERDAM AVENUE,,,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,False
116,New York,725306,Store,A,97 TOBACCO SHOP INC,97TOBACCO SHOP,2578,BROADWAY,,,NEW YORK,NY,10025,300,7,51417190.86,50149.62606,False
117,New York,733796,Store,JAC,DIAZ MINI DELI GROCERY LLC,DIAZ MINI DELI,601A,WEST 144TH STREET,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
118,New York,727217,Store,JAC,WEST 96 DELI INC,WEST 96 DELI,214,WEST 96TH STREET,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,False
119,New York,627615,Store,JAC,FELO DELI GROCERY CORP,FELO DELI GROCERY,23,W 100TH ST,,,NEW YORK,NY,10025,1250,7,51417190.86,50149.62606,True
120,New York,748702,Store,A,APTEKA RX INC,AMSTERDAM PHARMACY & SU,1743,AMSTERDAM AVE,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
121,New York,625184,Store,A,CVS ALBANY LLC,CVS PHARMACY 02360,743,AMSTERDAM AVE,,,NEW YORK,NY,10025,10000,7,51417190.86,50149.62606,False
122,New York,731842,Store,A,3635 SILVER SADDLE DELI GROCERY I,3635 SILVER SADDLE DELI,3635,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
123,New York,628834,Store,JAC,JOES GOURMET HEALTH DELI INC,JOES GOURMET HEALTH DEL,3161,BROADWAY,,,NEW YORK,NY,10027,1200,7,51417190.86,50149.62606,False
124,New York,625111,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04189,741,COLUMBUS AVE,,,NEW YORK,NY,10025,1250,7,51417190.86,50149.62606,False
125,New York,744365,Store,JAC,NY 1 GOURMET DELI CORP,NY 1 GOURMET DELI,1983,AMSTERDAM AVE,,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,False
126,New York,722672,Store,JAC,CARIBBEAN FRIEND FOOD CORP,CARIBBEAN FRIEND FOOD C,3462,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,True
127,New York,717864,Store,JAC,BROAD FISH MARKET INC,BROAD FISH MARKET,3519,BROADWAY,,,NEW YORK,NY,10031,1600,7,51417190.86,50149.62606,False
128,New York,738237,Store,A,ISARA MEXICAN TAQUERIA LLC,PUEBLO MAGICO GROCERY,500B,WEST 146TH STREET,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
129,New York,737279,Store,JAC,1 COLUMBIA DELI INC,1 COLUMBIA DELI,1290,AMSTERDAM AVE,,,NEW YORK,NY,10027,2000,7,51417190.86,50149.62606,False
130,New York,625186,Store,JAC,BLUE AND WHITE MARKETS INC,MORTON WILLIAMS UNIVERS,2941,BROADWAY,,,NEW YORK,NY,10025,4000,7,51417190.86,50149.62606,True
131,New York,738538,Store,JAC,MS ONE FISH MARKET INC,MS ONE FISH MARKET,2780,BROADWAY,,,NEW YORK,NY,10025,200,7,51417190.86,50149.62606,False
132,New York,628211,Store,JAC,MANHATTAN GROCERY CORP,JUANA GROCERY,150,MANHATTAN AVE,,,NEW YORK,NY,10025,3000,7,51417190.86,50149.62606,True
133,New York,721767,Store,JAC,GOLDEN DELI CORP,GOLDEN DELI,3377,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
134,New York,733220,Store,JAC,SAM GOURMET DELI & GROCERY CORP,SAM GOURMET DELI & GROC,3459,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,True
135,New York,702461,Store,A,3 STAR DELI GROCERY INC,3 STAR DELI GROCERY,1045,ST NICHOLAS AVE,,,NEW YORK,NY,10032,1100,7,51417190.86,50149.62606,False
136,New York,725385,Store,A,125 FOOD MART INC,125TH ST FOOD MART,521,WEST 125TH STREET,,,NEW YORK,NY,10027,1800,7,51417190.86,50149.62606,False
137,New York,733512,Store,JAC,360 DELI CORP,360 DELI,360,WEST 110TH STREET,,,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,False
138,New York,728851,Store,JAC,EDDY FOOD CENTER CORP,EDDY FOOD CENTER,2108,AMSTERDAM AVE,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,True
139,New York,739662,Store,JAC,WESTSIDE FRUITS & VEGETABLES INC,WESTSIDE FRUITS & VEGET,900,AMSTERDAM AVENUE,,,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,True
